email,provider,score,warmup,daily_limit
admin@vitosha-inc.com,microsoft,100,100,15
josh.ramirez@vitosha-inc.com,microsoft,100,100,15
lauren.reynolds@vitoshapropel.com,maildoso,97.6,97,30
alexis.thornton@vitoshapro.com,microsoft,90.5,100,30
allison.kemp@vitoshaid.com,google,90.5,100,30
amanda.sinclair@vitoshahybrid.com,google,90.5,100,30
andrea.keller@vitoshanet.com,microsoft,90.5,100,30
andrew.foster@vitoshahcm.com,google,90.5,100,30
benjamin.ashford@vitoshahub.com,google,90.5,100,30
benjamin.harper@vitoshamvp.com,microsoft,90.5,100,30
bennett.crowley@vitoshaprojects.com,microsoft,90.5,100,30
bianca.ashworth@vitosharemote.com,microsoft,90.5,100,30
brandi.becker@vitoshaprocess.com,microsoft,90.5,100,30
brandon.burke@vitoshamatch.com,microsoft,90.5,100,30
brandon.keller@vitoshakm.com,google,90.5,100,30
brian.holloway@vitoshahealth.com,google,90.5,100,30
brian.neal@vitoshamesh.com,microsoft,90.5,100,30
carter.linden@vitoshaprojects.com,microsoft,90.5,100,30
catherine.blake@vitoshahybrid.com,google,90.5,100,30
celeste.harrington@vitosharemote.com,microsoft,90.5,100,30
chelsea.greer@vitoshapath.com,microsoft,90.5,100,30
christina.mason@vitoshamesh.com,microsoft,90.5,100,30
christopher.griffin@vitoshama.com,microsoft,90.5,100,30
christopher.lane@vitoshahcm.com,google,90.5,100,30
daniel.brooks@vitoshagrowth.com,google,90.5,100,30
daniel.russell@vitoshama.com,microsoft,90.5,100,30
danielle.stokes@vitoshaisv.com,google,90.5,100,30
daphne.whitlock@vitosharemote.com,microsoft,90.5,100,30
diana.crawford@vitoshaiiot.com,google,90.5,100,30
easton.whitcomb@vitoshaprocure.com,microsoft,90.5,100,30
easton.whitcomb@vitosharealtime.com,microsoft,90.5,100,30
easton.whitcomb@vitosharpa.com,microsoft,90.5,100,30
eleanor.vance@vitosharemote.com,microsoft,90.5,100,30
elizabeth.henderson@vitoshama.com,microsoft,90.5,100,30
emily.parker@vitoshagrowth.com,google,90.5,100,30
erica.halstead@vitoshaisv.com,google,90.5,100,30
felicity.marsden@vitosharemote.com,microsoft,90.5,100,30
garrett.emerson@vitoshaprocess.com,microsoft,90.5,100,30
grant.stanton@vitoshapro.com,microsoft,90.5,100,30
gregory.jordan@vitoshanet.com,microsoft,90.5,100,30
harper.linwood@vitosharpa.com,microsoft,90.5,100,30
imogen.caldwell@vitosharpa.com,microsoft,90.5,100,30
jacob.freeman@vitoshamvp.com,microsoft,90.5,100,30
jason.pierce@vitoshamesh.com,microsoft,90.5,100,30
jonathan.pierce@vitoshahorizon.com,google,90.5,100,30
joseph.trenton@vitoshahub.com,google,90.5,100,30
joshua.preston@vitoshahealth.com,google,90.5,100,30
juliet.sterling@vitosharpa.com,microsoft,90.5,100,30
katherine.dawson@vitoshamatch.com,microsoft,90.5,100,30
kayla.ingram@vitoshanet.com,microsoft,90.5,100,30
kevin.sutton@vitoshahealth.com,google,90.5,100,30
laura.chen@vitoshagrowth.com,google,90.5,100,30
laura.quinn@vitoshamesh.com,microsoft,90.5,100,30
