email,domain,score
amber.underwood@vitoshami.com,vitoshami.com,85.7
danielle.saunders@vitoshami.com,vitoshami.com,85.7
eric.reeves@vitoshami.com,vitoshami.com,85.7
mark.tucker@vitoshami.com,vitoshami.com,85.7
steven.vaughn@vitoshami.com,vitoshami.com,85.7
allison.cannon@vitoshamicro.com,vitoshamicro.com,85.7
courtney.warren@vitoshamicro.com,vitoshamicro.com,85
kelly.abbott@vitoshamicro.com,vitoshamicro.com,85
patrick.york@vitoshamicro.com,vitoshamicro.com,85.7
scott.bishop@vitoshamicro.com,vitoshamicro.com,85.7
benjamin.harper@vitoshamvp.com,vitoshamvp.com,90.5
jacob.freeman@vitoshamvp.com,vitoshamvp.com,90.5
michelle.gaines@vitoshamvp.com,vitoshamvp.com,90.5
nathan.daniels@vitoshamvp.com,vitoshamvp.com,90.5
tiffany.ellison@vitoshamvp.com,vitoshamvp.com,90.5
andrea.keller@vitoshanet.com,vitoshanet.com,90.5
gregory.jordan@vitoshanet.com,vitoshanet.com,90.5
kayla.ingram@vitoshanet.com,vitoshanet.com,90.5
shannon.monroe@vitoshanet.com,vitoshanet.com,90.5
travis.logan@vitoshanet.com,vitoshanet.com,90.5
easton.whitcomb@vitosharealtime.com,vitosharealtime.com,90.5
tatum.bradshaw@vitosharealtime.com,vitosharealtime.com,89.8
wallace.doran@vitosharealtime.com,vitosharealtime.com,90.5
xavier.pemberton@vitosharealtime.com,vitosharealtime.com,90.5
zachary.holcomb@vitosharealtime.com,vitosharealtime.com,90.5
bianca.ashworth@vitosharemote.com,vitosharemote.com,90.5
celeste.harrington@vitosharemote.com,vitosharemote.com,90.5
daphne.whitlock@vitosharemote.com,vitosharemote.com,90.5
eleanor.vance@vitosharemote.com,vitosharemote.com,90.5
felicity.marsden@vitosharemote.com,vitosharemote.com,90.5
easton.whitcomb@vitosharpa.com,vitosharpa.com,90.5
harper.linwood@vitosharpa.com,vitosharpa.com,90.5
imogen.caldwell@vitosharpa.com,vitosharpa.com,90.5
juliet.sterling@vitosharpa.com,vitosharpa.com,90.5
kendall.beaumnt@vitosharpa.com,vitosharpa.com,89.8
lillian.crowder@vitoshasaas.com,vitoshasaas.com,90.5
margot.ashby@vitoshasaas.com,vitoshasaas.com,90.5
nora.whitford@vitoshasaas.com,vitoshasaas.com,90.5
phoebe.donnelly@vitoshasaas.com,vitoshasaas.com,90.5
quinn.hadleigh@vitoshasaas.com,vitoshasaas.com,90.5
